fitur_kata,tf_0,tf_1,tf_2,tf_3,tf_4,tf_5,tf_6,tf_7,tf_8,tf_9,tf_10,tf_11,tf_12,tf_13,tf_14,tf_15,tf_16,tf_17,tf_18,tf_19,tf_20,tf_21,tf_22,tf_23,tf_24,tf_25,tf_26,tf_27,tf_28,tf_29,tf_30,tf_31,wtf_0,wtf_1,wtf_2,wtf_3,wtf_4,wtf_5,wtf_6,wtf_7,wtf_8,wtf_9,wtf_10,wtf_11,wtf_12,wtf_13,wtf_14,wtf_15,wtf_16,wtf_17,wtf_18,wtf_19,wtf_20,wtf_21,wtf_22,wtf_23,wtf_24,wtf_25,wtf_26,wtf_27,wtf_28,wtf_29,wtf_30,wtf_31,tfidf_0,tfidf_1,tfidf_2,tfidf_3,tfidf_4,tfidf_5,tfidf_6,tfidf_7,tfidf_8,tfidf_9,tfidf_10,tfidf_11,tfidf_12,tfidf_13,tfidf_14,tfidf_15,tfidf_16,tfidf_17,tfidf_18,tfidf_19,tfidf_20,tfidf_21,tfidf_22,tfidf_23,tfidf_24,tfidf_25,tfidf_26,tfidf_27,tfidf_28,tfidf_29,tfidf_30,tfidf_31
[,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.3010299956639813,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4361707244092172,-0.15320490008428433,-0.1470576710283599,0.4854522473397139,-0.2748503200166648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
',1,6,0,0,1,0,1,1,3,1,2,2,2,2,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.7781512503836436,0.0,0.0,1.0,0.0,1.0,1.0,1.4771212547196624,1.0,1.3010299956639813,1.3010299956639813,1.3010299956639813,1.3010299956639813,1.0,1.3010299956639813,1.3010299956639813,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9628515698205224,0.0,0.0,0.4854522473397139,0.0,0.0,-0.2648178230095365,-1.0500539157085018,-0.26740641875290416,0.2701046393118932,-0.04505266077309094,-0.9527616052645864,-0.9552677493749835,-0.3134453704264141,-0.5339944732735725,-0.1981317040323629,-0.18155777386278632,-0.15442397311464692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l,1,8,1,0,0,1,1,2,4,2,1,2,3,3,2,0,0,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1.0,1.9030899869919435,1.0,0.0,0.0,1.0,1.0,1.3010299956639813,1.6020599913279625,1.3010299956639813,1.0,1.3010299956639813,1.4771212547196624,1.4771212547196624,1.3010299956639813,0.0,0.0,1.3010299956639813,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1007679564215405,-0.15320490008428433,0.0,0.0,-0.2748503200166648,0.0,-0.3445359311218422,-1.1388701920839421,-0.34790377183061166,0.2076083105017461,-0.04505266077309094,-1.0817155811222527,-1.084560925768568,-0.4078018289267726,0.0,0.0,-0.23621210974146298,0.0,0.08354605145007492,-0.46612587041819925,-0.2812606870550129,-0.048441803550404505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
o,1,4,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1.0,1.6020599913279625,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.768469340415379,0.0,0.0,0.0,-0.2748503200166648,0.0,-0.2648178230095365,-0.7108786176851729,-0.26740641875290416,0.0,0.0,-0.7323133274712426,-0.7342396044354551,-0.3134453704264141,0.0,0.0,-0.18155777386278632,0.0,0.08354605145007492,0.0,-0.2812606870550129,0.0,0.438898616350944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c,1,8,0,0,0,1,1,2,3,2,0,0,3,3,2,2,1,2,1,0,2,1,1,0,0,0,0,0,0,0,0,0,1.0,1.9030899869919435,0.0,0.0,0.0,1.0,1.0,1.3010299956639813,1.4771212547196624,1.3010299956639813,0.0,0.0,1.4771212547196624,1.4771212547196624,1.3010299956639813,1.3010299956639813,1.0,1.3010299956639813,1.0,0.0,1.3010299956639813,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1007679564215405,0.0,0.0,0.0,-0.2748503200166648,0.0,-0.3445359311218422,-1.0500539157085018,-0.34790377183061166,0.0,0.0,-1.0817155811222527,-1.084560925768568,-0.4078018289267726,-0.5339944732735725,-0.15228834438305652,-0.23621210974146298,-0.15442397311464692,0.0,-0.6064437391690592,-0.2812606870550129,-0.048441803550404505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k,1,24,1,6,1,1,1,1,6,5,3,1,11,11,1,7,2,3,5,2,5,3,4,1,1,1,0,0,0,0,0,0,1.0,2.380211241711606,1.0,1.7781512503836436,1.0,1.0,1.0,1.0,1.7781512503836436,1.6989700043360187,1.4771212547196624,1.0,2.0413926851582254,2.0413926851582254,1.0,1.845098040014257,1.3010299956639813,1.4771212547196624,1.6989700043360187,1.3010299956639813,1.6989700043360187,1.4771212547196624,1.6020599913279625,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6274488018328452,-0.15320490008428433,-0.26149078161758466,0.4854522473397139,-0.2748503200166648,0.0,-0.2648178230095365,-1.2640497029078863,-0.4543154844281008,0.30666264809856847,-0.03462845662532038,-1.4949390699436746,-1.4988713576480068,-0.3134453704264141,-0.7573016450805811,-0.1981317040323629,-0.26818284673230763,-0.2623616982721769,0.10869591895583372,-0.7919338720855384,-0.41545613896601497,-0.0776066753758719,0.438898616350944,0.4881166390211256,0.6925039620867871,0.0,0.0,0.0,0.0,0.0,0.0
],1,12,1,3,0,3,1,2,2,1,0,2,5,5,2,2,0,2,1,1,4,1,2,0,0,1,0,0,0,0,0,0,1.0,2.079181246047625,1.0,1.4771212547196624,0.0,1.4771212547196624,1.0,1.3010299956639813,1.3010299956639813,1.0,0.0,1.3010299956639813,1.6989700043360187,1.6989700043360187,1.3010299956639813,1.3010299956639813,0.0,1.3010299956639813,1.0,1.0,1.6020599913279625,1.0,1.3010299956639813,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2951501858266843,-0.15320490008428433,-0.2172220115455623,0.0,-0.40598724956311666,0.0,-0.3445359311218422,-0.9248744048845575,-0.26740641875290416,0.0,-0.04505266077309094,-1.2441783771491413,-1.2474510639313818,-0.4078018289267726,-0.5339944732735725,0.0,-0.23621210974146298,-0.15442397311464692,0.08354605145007492,-0.7467616079199193,-0.2812606870550129,-0.0630242394631382,0.0,0.0,0.6925039620867871,0.0,0.0,0.0,0.0,0.0,0.0
s,1,14,2,0,0,0,1,2,7,1,1,2,6,6,0,2,3,1,4,2,3,1,0,1,0,0,0,0,0,0,0,0,1.0,2.146128035678238,1.3010299956639813,0.0,0.0,0.0,1.0,1.3010299956639813,1.845098040014257,1.0,1.0,1.3010299956639813,1.7781512503836436,1.7781512503836436,0.0,1.3010299956639813,1.4771212547196624,1.0,1.6020599913279625,1.3010299956639813,1.4771212547196624,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.369050879647045,-0.19932417049235712,0.0,0.0,0.0,0.0,-0.3445359311218422,-1.3116407441789568,-0.26740641875290416,0.2076083105017461,-0.04505266077309094,-1.3021638589155966,-1.3055890707080964,0.0,-0.5339944732735725,-0.2249483503342805,-0.18155777386278632,-0.24739646902888077,0.10869591895583372,-0.6885244305694252,-0.2812606870550129,0.0,0.438898616350944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a,1,18,1,4,2,8,1,1,13,1,2,1,8,8,3,4,3,1,0,2,3,1,3,1,1,2,0,0,0,0,0,0,1.0,2.255272505103306,1.0,1.6020599913279625,1.3010299956639813,1.9030899869919435,1.0,1.0,2.113943352306837,1.0,1.3010299956639813,1.0,1.9030899869919435,1.9030899869919435,1.4771212547196624,1.6020599913279625,1.4771212547196624,1.0,0.0,1.3010299956639813,1.4771212547196624,1.0,1.4771212547196624,1.0,1.0,1.3010299956639813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4895324152318272,-0.15320490008428433,-0.23559521117240462,0.631587935251458,-0.5230648919452462,0.0,-0.2648178230095365,-1.5027571281526446,-0.26740641875290416,0.2701046393118932,-0.03462845662532038,-1.393658160851274,-1.39732403925404,-0.46299681885033417,-0.6575491603367986,-0.2249483503342805,-0.18155777386278632,0.0,0.10869591895583372,-0.6885244305694252,-0.2812606870550129,-0.0715544176412569,0.438898616350944,0.4881166390211256,0.9009684267910625,0.0,0.0,0.0,0.0,0.0,0.0
m,1,58,5,11,0,10,1,8,32,7,3,7,28,28,6,9,5,4,3,8,9,6,7,0,10,1,1,0,0,0,0,0,1.0,2.7634279935629373,1.6989700043360187,2.0413926851582254,0.0,2.0,1.0,1.9030899869919435,2.5051499783199063,1.845098040014257,1.4771212547196624,1.845098040014257,2.4471580313422194,2.4471580313422194,1.7781512503836436,1.9542425094393248,1.6989700043360187,1.6020599913279625,1.4771212547196624,1.9030899869919435,1.9542425094393248,1.7781512503836436,1.845098040014257,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0504710856743453,-0.2602905297604959,-0.3002024539336986,0.0,-0.5497006400333296,0.0,-0.5039721473464536,-1.7808575536820959,-0.4933910591282151,0.30666264809856847,-0.06389289744809734,-1.792086440780196,-1.7968003449237582,-0.5573532773506926,-0.8020988777774476,-0.25873332911680663,-0.29086644562013964,-0.22810293292590267,0.15899565396735132,-0.9109229907206512,-0.5001240423706339,-0.08937987678560702,0.0,0.9762332780422512,0.6925039620867871,0.8068754016455384,0.0,0.0,0.0,0.0,0.0
