rawContent,status,label
Masa masih legend udh di lock,1,Negatif
GAME SAMPAH GAME PENUH KECURANGAN DARI MOONTON.,1,Negatif
Makin parah sekarang banyak dark sistemm bagus main di game sebelah,1,Negatif
dark sytem,1,Negatif
game nya ga seru tidak bisa menyeimbangkan pemain sampai lose streak beberapa kali,1,Negatif
anjing lah monton kasih tim ga imbang bngst di glori masih ada aja payer yang tolol ya minta amupun. Minta tolong untuk bisa membuat game yang draf pick yang imbang,1,Negatif
Lebih mending main Honor of King ini mah banyak dark sistemnya,1,Negatif
Hari game BB tidak ada event Langsung Hapus gamenya. Terimakasih.,1,Negatif
tolong perpindahan akun fb benerin lagi saya mau masuk pake akun fb gak bisa malah bulak balik lagi tolong kerjasamanya,1,Negatif
Game Dajjal udh pke wifi Masi ngeleg bikin stres semoga perusahaan montooon bangkrut/tidak ada yg mau main montoon nak Dajjal bekas kaos kaki Dajjal udh perusahaan haram mending hapus ae game haram menjijikan + anak Dajjal babi bangsat Mampus,1,Negatif
Bodoh moonton tolol ngasih team kek babi,1,Negatif
pembagian tim gak seimbang sangat mengganggu dan membuat game ini menjadi kurang seru,1,Negatif
Banyak dark sistem males main BURIK,1,Negatif
Dark sistem anjing game setingan tolol,1,Negatif
gabut aja,1,Negatif
Gambarnya tidak bagus..Game tai... Lelet padahal jaringan gua bagus... Sistem berlebihan.. jangan di download,1,Negatif
game ampas banyak dark sistem bug dan lain lain,1,Negatif
P mabar yg lebih seru,1,Negatif
banyak bocah ingusan ni min mager gua ngerank,1,Negatif
pliss lah masaalh lawan ssh kali lah dark system,2,Negatif
Aku sering main cuma ya di kasih kalah menang kalah kalah kalah kalah kalah menang kalah kalah terus muntun tolong lah kasih tim yang bener aku 2 tahun stack di epikðŸ—¿ pliss,2,Negatif
pindah aj lh bnyk tim ga seimbang msa gw glory b63 ktemu glory b50 ap cb udahlah banyak omong lagi dh s gw,2,Negatif
Kalo ngasih tim yg bener lah,2,Negatif
ini aneh bgt sih masa tiap abis login trus ada di lobi 2 menit langsung ulang login lagi sih,2,Negatif
monton pasti kalo mau naik dikasih musuh yang pro aku main sebulan ngestack di gm 1 pasti kalo mau naik epic susah,2,Negatif
banyak makan penyimpanan,2,Negatif
buat yang sinyalnya sering lag mndng pindah ke game sebelah dehh disana sinyalnya ijo truss jadi ga keganggu sinyal pas main,2,Negatif
game nya jahat suka bgt ngasi tim jelek AKU UDA JAGO MALAH DI COMEBACK???????? maafya tapi aku sedi bgt makanya aku kasi bintang 2 aja biar kaya rank aku epic 2 bintang 2!!!!!!!!,2,Negatif
lol dark sistem tim nya lol semua,2,Negatif
Kebanyakan dark sistem. .,2,Negatif
"game"" bisa bikin skin bisa tapi monton ga bisa ngasi tim yg adil anjing gw di kasih dark sistem mulu kont*l",2,Negatif
Game yang sangat bagus cocok untuk anak dibawah 6 tahun playernya juga ramahÂ² terutama player inisial Jawa dengan kearifan bertutur katanya yg sangat sopanâ˜ºï¸,2,Negatif
Bad games,2,Negatif
Susah,2,Negatif
Tolong hapus invalid di rank mytik kalo tidak pihak yang tidak menyerah tetap tambanh bintang yang nyerah tidak hilang bintang terima kasih karna sangat membuang waktu.,2,Negatif
Sering bgt kalah trus dikasih tim yg ga bisa main main di rank mytic di kasih tim rank epic pokoknya sesek sama sistem nya moonton,2,Negatif
honor of king dah mau rilis wkwkwkwk.... Banyakin event skin gratis colector kalo bisa :),2,Negatif
Mohon maaf pihak monton harap memperbaiki prihal bug yg terjadi saat dalam pertandingan sering jalan sendiri macet trs tiba-tiba setingan berubah sendiri harap di tingkat kan LG mohon kerjasamanya ðŸ™ðŸ™ðŸ™,2,Negatif
yg komen bgus fix mentalnya kena kecewa sama draf sistemnya.,2,Negatif
Seberapa banyak lu kasih skin gratis ke kita kita pasti pindah ke Honor of King kita semua cape dapat tim jelek rata rata bocil jokian yg main bb Ga ada yang mau main game lu lagi kecuali para bocil jokian sama penjoki,2,Negatif
Kalau ada player afk atau feed kashi hukuman yang lebih berat dong cape ketemu orang orang begituan,2,Negatif
Malah nambah Stress,2,Negatif
Game ny burik gk guna ngasih tim yg bot game tolol,2,Negatif
Plis dong kalo mvp jangan cuman di lihat dari kill Dead and asist nya doang liat juga koin nya level nya cara bermain nya Gk adil mana saya sering gk dapet asist Padahal selalu bantuin tim buat ngekill,2,Negatif
Di tempat saya jaringannya kadang hilang jadi tolong untuk developer menambah batas pemulihan kredit skor dari 3 ke 6 karena tingkat pengurangan kredit skor sangat tinggi apalagi kalau kena report,2,Negatif
kalo ngasih tim itu yg bener dong monton masak gw maen lose 15Ã— win cuman 5Ã— gema apaan tiap maen selalu di kasih tim yg TOLOL mulu paan kanjingud,2,Negatif
Kurang bagus,2,Negatif
menurut saya game ini harus di kembangkang lagi deh karna game ini suka gak jelas harus download secara tiba tiba jaringan sih paling parah lag banget padahal jaringan 70ms kebawah tapi kaya 201 ms jadi tolong perbaiki atau saya pindah game ke saja,2,Negatif
Sinyal bgus kok tibaÂ² jadi merah gamenya gak enak bgt sekrg,2,Negatif
Game apa nih pilih kasih kda gw aja 7.3.4 Di kasih coklat sedangkan temen gw mm kda 1.8.4 silver pilih kasih banget,2,Negatif
halo min saya kasih bintang 4 untuk game ini. Game ini sudah bagus dari segi grafis apalagi yang iltra udah bagus banget. Heronya juga gak ada bug lagi yang aku temui,4,Positif
