userName;rawContent;status;Label
Misrah Jeny;Kenapa setiap saya main selalu di ksih tim yang bot?, tidak ada kerja sama semesekali, dan tim² saya sering main keluar tanpa alasan, dan untuk jaringan mohon di perbaiki, jaringan saya cukup kencang ketika saya sedang menyerang dengan jarak jauh, dan ketika saya menyerang musuh dengan dekat, sering sekali jaringan ngeleg, padahal jaringan di sini ckup bgus, untuk grafik sudah cukup bagus, dan itu saja kekurangan dari game ini, saran saya tolong untuk di ksih tim yang sempurna rank sring trun;1;Negatif
hadi gunawan;Untuk kesekian kali nya tetap Masalah nya selalu ngelaaaaag, saya pribadi sudah menggunakan perangkat yang mumpuni , sinyal amat sangat bagus, akan tetapi masih saja ngelag , saya sudah nyoba bermacam cara , jangan cuma mikirin masalah skin baru atau upgrade even saja , fikirin juga persoalan ngelag.;1;Negatif
Wega Elwin;Banyak sekali pemain yg saling ejek dalam sesama team match, mereka tidak mengerti permasalahan pada pemain satu tim, kebanyakan yg jaringan lag,ketika kita mau melakukan ultimate skill tiba2 skill gak keluar dan akhirnya kita mati, seperti nya sdah sangat di atur sekali oleh sistem,hp apapun, berapa pun RAM dan ROM nya,dan melalui jaringan apapun,WiFi atau seluler tetap lag, sekali menang,kalah nya bisa sampai turun rank, mohon perbaikan seperti dulu, agar kita semua nyaman bermain bersama,,;1;Negatif
sikettang jahat;Saya player mlbb. Memohon kepada sistem y agar dapat di perbaiki terutama sekali di bidang jaringan, karna saya sering mendapat kan kulalitas jaringan kurang bagu, /ngelek. Dan di bidang peyimpanan terlalu tingi dan mohon di perbaiki. Sekian terima kasih.;1;Negatif
angelica fitri;Tolong diperbaiki, setiap masuk mode classic atau ranking, gak bisa dibatalin, walaupun belum sampai 3 detik,. Kalau dibatalin termasuk AFK, kan sial bener peraturannya, mana setiap chat walaupun biasa di mute, dianggap tidak sopan, . Hadeeh..;1;Negatif
Ajik Ngurah;Kepada pihak developer mohon di perbaiki beberapa masalah berikut setelah update event M4 : 1) aplikasi memakan banyak ruang penyimpan (semula 6gb sekarang menjadi 28gb) Gak ngotak banget ! 2) highlight pertandingan yang tidak bisa disimpan di perangkat padahal sudah ada keterangan disimpan tapi video nya gak ada di perangkat. 3) jaringan suka nge lag,frame drop pas war,keseimbangan match making,leaderboard gak sesuai dengan gelar kehormatan,banyak cheater .;1;Negatif
Andika Andika;Dasar developer tidak becus!!! Masa semakin banyak update jaringannya semakin rusak dan lag tiba2 padahal jaringan data seluler bagus dan hijau tapi sehabis 1 match terus coldown GK jelas banget,,udah coldown lama lagi!! Kalau begini bagaimana kami bisa bermain dengan lancar tanpa kendala apapun,,tapi ini malah banyak sekali bug dalam jaringannya mendingan hapus saja game ini dari play store 😠😠tidak ada yang bisa memuaskan player!! Terutama dalam satu tim,,selalu diertemukan tim yang bodoh!!;1;Negatif
Izzah Nurhalizah;Kalo mau login selalu keluar , login lagi keluar lagi , kadang pula pas loading keluar terus sampe kesel , di mohon untuk memperbaiki nya... Serta saat sedang bermain kadang sinyal jelek , otomatis ngeleg dan itu dijadikan tindakan AFK . Karena pengguna hanya membutuhkan kenyamanan dari aplikasi yg di instal oleh pengguna nya... Saya berharap hal ini tidak terjadi lagi pada pengguna lain 🙏🙏 Terimakasih;1;Negatif
Arif Hidayat;Kecewa sama update yang sekarang, kalo sinyalnya tiba-tiba merah, terus pas sinyalnya ijo lagi malah ml nya error/lag, masuk datanya lama, malah dijalanin heronya sama system dan gak bisa digerakin sementara. Jadi males main ml dah, penyebab losetreak Juga matching sekarang gak seimbang, antara tim dengan lawan. Banyak player pemula dicampurkan dengan pro player;1;Negatif
Yayan Dharmawan;"Semakin banyak update, semakin besar juga ram yang diperlukan. Hero makin banyak, skin terlalu over, jadi HP mulai tidak kuat.... Banyak dari kalangan menengah ke bawah sudah pasti unistal ini game. Kalau terus makin menambah ram... Juga signal suka eror pas main, kalau dipakai hal lain aman"" Aja. Aneh banget";1;Negatif
